COD,Tip Produs,DENUMIRE,DESCRIERE,CATEGORIE,PRET_RECOMANDAT,PRET_ACHIZITIE,STOC,IMAGINE_PRINCIPALA,BRAND,GREUTATE,Unnamed: 11,EAN,TVA,Moneda,Pret_Vanzare,ID_CATEGORIE,Product_ID,URL_IMAGINE_SECUNDARA_1,URL_IMAGINE_SECUNDARA_2,URL_IMAGINE_SECUNDARA_3,URL_IMAGINE_SECUNDARA_4,URL_IMAGINE_SECUNDARA_5
AVX-AME0242,Pasta de polisat,Pasta de polisat abraziva fina,<p>Pasta de polisa abraziva fina pentru curatarea si lustruirea lacului masinii si a zgarieturilor superficiale. Ofera o stralucire perfecta si lasa un strat protector pe vopseaua masinii.</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,27.01,14.6,13,https://export.avex.ro/wp-content/uploads/2022/01/1_kuhx-j3.jpg,AMIO,0.15,,8.59483E+12,0,RON,40.515,1414,16,https://export.avex.ro/wp-content/uploads/2022/01/1_kuhx-j3.jpg,,,,
AVX-AME0243,Pasta de polisat,Pasta de polisat suprafete cromate - aluminiu,<p>Pasta de polisat suprafete cromate si aluminiu ofera stralucire suprafetelor degradate si lasa o acoperire care protejeaza eficient suprafelete cromate impotriva conditiilor meteorologice nefavorabile.</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,29.42,15.9,8,https://export.avex.ro/wp-content/uploads/2022/01/1_it0t-98.jpg,AMIO,0.152,,8.59483E+12,0,RON,44.13,1414,17,https://export.avex.ro/wp-content/uploads/2022/01/1_it0t-98.jpg,,,,
AVX-AM01746,Burete cu microfibra,Burete cu microfibra cwash-01,<p>Burete imbracat in microfibra cu o forma unica pentru o putere mare maxima de curatate.</p><p>Microfibra maximizeaza puterea de curatate in conditii de siguranta pe suprafete conferind un finisaj modern.</p><p>Dimensiuni: 22 x 11 x 5.5 cm</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,21.44,11.59,14,https://export.avex.ro/wp-content/uploads/2022/01/1_zb8c-3k.jpg,AMIO,0.067,,5.90329E+12,0,RON,32.16,1414,18,https://export.avex.ro/wp-content/uploads/2022/01/1_zb8c-3k.jpg,,,,
AVX-AMN0177,Burete pentru spalare,Burete pentru spalare auto manuala 22x13x6.5 cm,"<p>Un burete moale, ideal pentru spalarea caroseriei masinii tale, are o fibra moale pentru a preveni zgarieturile. Datorita structurii sale, are o buna capacitate de absorbtie, absorbind cantitati mari de detergent pentru a ajuta spumarea eficienta. Datorita designului, este usor de manuit si de utilizat.</p><p>Dimensiuni: 22x13x6.5 cm</p>",Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,12.77,6.9,18,https://export.avex.ro/wp-content/uploads/2022/01/1_8v3r-ia.jpg,AMIO,0.042,,5.90769E+12,0,RON,19.155,1414,19,https://export.avex.ro/wp-content/uploads/2022/01/1_8v3r-ia.jpg,,,,
AVX-AMT9075,#VALUE!,Burete dezaburire parbriz,"<p>Burete anti-ceata, dezaburire parbriz si geamuri. Stergere delicata fara zgarieturi.</p>",Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,14.62,7.9,18,https://export.avex.ro/wp-content/uploads/2022/01/1_ggc0-dp.jpg,AMIO,0.021,,5.90472E+12,0,RON,21.93,1414,20,https://export.avex.ro/wp-content/uploads/2022/01/1_ggc0-dp.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_ja7e-0o.jpg,,,
AVX-AMTAT36179,Burete pentru spalare,Burete pentru spalare auto manuala 22x11.5x5.5 cm,"<p>Un burete moale, ideal pentru spalarea caroseriei masinii tale, are o fibra moale pentru a preveni zgarieturile. Datorita structurii sale, are o buna capacitate de absorbtie, absorbind cantitati mari de detergent pentru a ajuta spumarea eficienta. Datorita designului, este usor de manuit si de utilizat.</p><p>Dimensiuni: 22x11.5x5.5 cm</p>",Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,9.62,5.2,8,https://export.avex.ro/wp-content/uploads/2022/01/1_lesn-44.jpg,AMIO,0.026,,5.90767E+12,0,RON,14.43,1414,21,https://export.avex.ro/wp-content/uploads/2022/01/1_lesn-44.jpg,,,,
AVX-AMT9002,Burete cu piele,Burete cu piele sintetica chamois,<p>Burete cu piele sintetica chamois ce imita pielea de caprioara pentru stergerea geamurilor si caroseriei fara zgarieturi.</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,12.91,6.98,6,https://export.avex.ro/wp-content/uploads/2022/01/1_d4iy-05.jpg,AMIO,0.015,,5.90472E+12,0,RON,19.365,1414,22,https://export.avex.ro/wp-content/uploads/2022/01/1_d4iy-05.jpg,,,,
AVX-AME52086,Placute reflectorizante pentru,Placute reflectorizante pentru camioane 10x30 cm,"<p>Dispozitive de avertizare tip placi reflectorizante pentru camioane, cap tractor si remorci.</p><p>Dimensiuni: 10x30 cm</p><p>Pretul este pe set de doua bucati.</p>",Car Accessories > Tuning auto > Accesorii auto tuning,58.16,31.44,26,https://export.avex.ro/wp-content/uploads/2022/01/1_da98-pj.jpg,AMIO,0.129,,5.90315E+12,0,RON,87.24,1480,23,https://export.avex.ro/wp-content/uploads/2022/01/1_da98-pj.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_xkj6-fh.jpg,,,
AVX-AMT9003,Burete cu piele,Burete cu piele naturala de caprioara,<p>Burete cu piele naturala de caprioara pentru uscarea suprafetelor spalate fara urme si zgarieturi.</p><p>Dimensiuni: 12.5x8.5x5.5 cm</p>,Car Accessories > Intretinere & Cosmetica auto > Produse cosmetica auto,18.19,9.83,9,https://export.avex.ro/wp-content/uploads/2022/01/1_3tir-rk.jpg,AMIO,0.019,,5.90472E+12,0,RON,27.285,1414,24,https://export.avex.ro/wp-content/uploads/2022/01/1_3tir-rk.jpg,,,,
AVX-AMJ0614,Canistra din plastic,Canistra din plastic pentru combustibil rosie 20L,"<p>Canistra rosie de combustibil 20L din plastic de inalta calitate.</p><ul><li>Produs realizat din materiale certificate de cea mai Ã®naltÄƒ calitate.</li><li>Produsul este destinat depozitÄƒrii benzinei, È›iÈ›eiului È™i uleiurilor.</li><li>ÃŽn plus, are o pÃ¢lnie pentru realimentare uÈ™oarÄƒ.</li></ul><p>CERTIFICAT ONU: 3H1 / Y / 150/17 / PL COBRO 1177 / FGB</p>",Car Accessories > Tuning auto > Accesorii auto tuning,102.12,55.2,12,https://export.avex.ro/wp-content/uploads/2022/01/1_mfbm-gp.jpg,AMIO,0.96,,5.9077E+12,0,RON,153.18,1480,25,https://export.avex.ro/wp-content/uploads/2022/01/1_mfbm-gp.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_lqd5-yr.jpg,,,
AVX-AM02005,Palnie combustibil din,Palnie combustibil din plastic 2 parti,<p>Palnie combustibil din plastic 2 parti</p>,Car Accessories > Tuning auto > Accesorii auto tuning,11.29,6.1,6,https://export.avex.ro/wp-content/uploads/2022/01/1_iemo-wr.jpg,AMIO,0.09,,5.90329E+12,0,RON,16.935,1480,26,https://export.avex.ro/wp-content/uploads/2022/01/1_iemo-wr.jpg,,,,
AVX-AM02006,Palnie combustibil din,Palnie combustibil din plastic 3 parti,<p>Palnie combustibil din plastic 3 parti</p>,Car Accessories > Tuning auto > Accesorii auto tuning,21.28,11.5,15,https://export.avex.ro/wp-content/uploads/2022/01/1_1x0b-zc.jpg,AMIO,0.112,,5.90329E+12,0,RON,31.92,1480,27,https://export.avex.ro/wp-content/uploads/2022/01/1_1x0b-zc.jpg,,,,
AVX-AM02007,Palnie combustibil din,Palnie combustibil din plastic 4 parti,<p>Palnie combustibil din plastic 4 parti</p>,Car Accessories > Tuning auto > Accesorii auto tuning,22.57,12.2,19,https://export.avex.ro/wp-content/uploads/2022/01/1_bjjp-ir.jpg,AMIO,0.15,,5.90329E+12,0,RON,33.855,1480,28,https://export.avex.ro/wp-content/uploads/2022/01/1_bjjp-ir.jpg,,,,
AVX-AM02305,Palnie combustibil din,Palnie combustibil din plastic oblica,<p>Palnie combustibil din plastic oblica</p>,Car Accessories > Tuning auto > Accesorii auto tuning,16.47,8.9,13,https://export.avex.ro/wp-content/uploads/2022/01/1_sujs-3k.jpg,AMIO,0.113,,5.90329E+12,0,RON,24.705,1480,29,https://export.avex.ro/wp-content/uploads/2022/01/1_sujs-3k.jpg,,,,
AVX-AM01723,Chinga asigurare si,Chinga asigurare si fixare marfa 350kg 5m,<p>Chinga pentru asigurare si fixare marfa cu clichet 350kg 5m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,28.99,15.67,4,https://export.avex.ro/wp-content/uploads/2022/01/2_xjo1-vl.jpg,AMIO,0.213,,5.90329E+12,0,RON,43.485,1480,30,https://export.avex.ro/wp-content/uploads/2022/01/2_xjo1-vl.jpg,https://export.avex.ro/wp-content/uploads/2022/02/1_d5zz-a5.jpg,,,
AVX-AM02028,Chinga asigurare si,Chinga asigurare si fixare marfa 500kg 5m,<p>Chinga asigurare si fixare marfa 500kg 5m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,44.1,23.84,11,https://export.avex.ro/wp-content/uploads/2022/01/1_er12-5r.jpg,AMIO,0.417,,5.90329E+12,0,RON,66.15,1480,31,https://export.avex.ro/wp-content/uploads/2022/01/1_er12-5r.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_mtpa-i9.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_nlen-fe.jpg,,
AVX-AM02029,Chinga asigurare si,Chinga asigurare si fixare marfa 500kg 6m,<p>Chinga asigurare si fixare marfa 500kg 6m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,44.03,23.8,8,https://export.avex.ro/wp-content/uploads/2022/01/1_wt6z-un.jpg,AMIO,0.429,,5.90329E+12,0,RON,66.045,1480,32,https://export.avex.ro/wp-content/uploads/2022/01/1_wt6z-un.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_kmiu-fo.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_t320-5o.jpg,,
AVX-AM02026,Chinga asigurare si,Chinga asigurare si fixare marfa 2000kg 6m,<p>Chinga asigurare si fixare marfa 2000kg 6m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,79.29,42.86,4,https://export.avex.ro/wp-content/uploads/2022/01/1_5x3b-ya.jpg,AMIO,1.135,,5.90329E+12,0,RON,118.935,1480,33,https://export.avex.ro/wp-content/uploads/2022/01/1_5x3b-ya.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_26hz-ri.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_0dsp-1g.jpg,,
AVX-AM02027,Chinga asigurare si,Chinga asigurare si fixare marfa 500kg 4m,<p>Chinga asigurare si fixare marfa 500kg 4m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,37.56,20.3,4,https://export.avex.ro/wp-content/uploads/2022/01/1_bmct-ux.jpg,AMIO,0.392,,5.90329E+12,0,RON,56.34,1480,34,https://export.avex.ro/wp-content/uploads/2022/01/1_bmct-ux.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_2o20-5m.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_tomf-bj.jpg,,
AVX-AM02025,Chinga asigurare si,Chinga asigurare si fixare marfa 2000kg 5m,<p>Chinga asigurare si fixare marfa 2000kg 5m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,76.87,41.55,6,https://export.avex.ro/wp-content/uploads/2022/01/1_ygbw-2t.jpg,AMIO,0.938,,5.90329E+12,0,RON,115.305,1480,35,https://export.avex.ro/wp-content/uploads/2022/01/1_ygbw-2t.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_0kqg-o1.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_wsm7-w8.jpg,,
AVX-AM02023,Chinga asigurare si,Chinga asigurare si fixare marfa 2000kg 4m,<p>Chinga asigurare si fixare marfa 2000kg 4m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,69.38,37.5,8,https://export.avex.ro/wp-content/uploads/2022/01/1_ivh3-dl.jpg,AMIO,0.836,,5.90329E+12,0,RON,104.07,1480,36,https://export.avex.ro/wp-content/uploads/2022/01/1_ivh3-dl.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_ax47-nl.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_bi6g-tn.jpg,,
AVX-AM02024,Chinga asigurare si,Chinga asigurare si fixare marfa 2000kg 5m,<p>Chinga asigurare si fixare marfa 2000kg 5m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,72.71,39.3,7,https://export.avex.ro/wp-content/uploads/2022/01/1_gpr1-0z.jpg,AMIO,1.052,,5.90329E+12,0,RON,109.065,1480,37,https://export.avex.ro/wp-content/uploads/2022/01/1_gpr1-0z.jpg,https://export.avex.ro/wp-content/uploads/2022/02/2_k4o4-0q.jpg,https://export.avex.ro/wp-content/uploads/2022/02/3_zf1j-ro.jpg,,
AVX-AM01148,Corzi elastice pentru,Corzi elastice pentru fixare marfa 2x100cm BSTRAP-03,<p>Corzi elastice pentru fixare marfa 2x100cm BSTRAP-03</p>,Car Accessories > Tuning auto > Accesorii auto tuning,13.25,7.16,5,https://export.avex.ro/wp-content/uploads/2022/01/1_4uvb-7d.jpg,AMIO,0.193,,5.90329E+12,0,RON,19.875,1480,38,https://export.avex.ro/wp-content/uploads/2022/01/1_4uvb-7d.jpg,,,,
AVX-AM01150,Corzi elastice pentru,Corzi elastice pentru fixare marfa 2x150cm BSTRAP-05,<p>Corzi elastice pentru fixare marfa 2x150cm BSTRAP-05</p>,Car Accessories > Tuning auto > Accesorii auto tuning,12.67,6.85,2,https://export.avex.ro/wp-content/uploads/2022/01/1_nnme-r7.jpg,AMIO,0.262,,5.90329E+12,0,RON,19.005,1480,39,https://export.avex.ro/wp-content/uploads/2022/01/1_nnme-r7.jpg,,,,
AVX-AM01272,Plasa ELASTICA asigurare,Plasa ELASTICA asigurare marfa cu carlige 70x90cm,<p>Plasa ELASTICA asigurare marfa cu carlige 70x90cm</p>,Car Accessories > Tuning auto > Accesorii auto tuning,32.1,17.35,19,https://export.avex.ro/wp-content/uploads/2022/01/1_fu9v-mn.jpg,AMIO,0.301,,5.90329E+12,0,RON,48.15,1480,40,https://export.avex.ro/wp-content/uploads/2022/01/1_fu9v-mn.jpg,https://export.avex.ro/wp-content/uploads/2022/02/60261-A-01.jpg,,,
AVX-AM02017,Chinga asigurare si,Chinga asigurare si fixare marfa 5000kg 3m,<p>Chinga asigurare si fixare marfa 5000kg 3m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,128.93,69.69,7,https://export.avex.ro/wp-content/uploads/2022/01/1_3dzy-q6.jpg,AMIO,1.852,,5.90329E+12,0,RON,193.395,1480,41,https://export.avex.ro/wp-content/uploads/2022/01/1_3dzy-q6.jpg,,,,
AVX-AM01273,Plasa ELASTICA asigurare,Plasa ELASTICA asigurare marfa cu carlige 120x80cm,<p>Plasa ELASTICA asigurare marfa cu carlige 120x80cm</p>,Car Accessories > Tuning auto > Accesorii auto tuning,41.98,22.69,18,https://export.avex.ro/wp-content/uploads/2022/01/1_n4jb-jw.jpg,AMIO,0.366,,5.90329E+12,0,RON,62.97,1480,42,https://export.avex.ro/wp-content/uploads/2022/01/1_n4jb-jw.jpg,https://export.avex.ro/wp-content/uploads/2022/02/60261-A-01_bnhb-ap.jpg,,,
AVX-AM02018,Chinga asigurare si,Chinga asigurare si fixare marfa 5000kg 50mm latime 3m lungime,<p>Chinga asigurare si fixare marfa 5000kg 3m</p>,Car Accessories > Tuning auto > Accesorii auto tuning,145.34,78.56,10,https://export.avex.ro/wp-content/uploads/2022/01/1_v8u2-ta.jpg,AMIO,1.852,,5.90329E+12,0,RON,218.01,1480,43,https://export.avex.ro/wp-content/uploads/2022/01/1_v8u2-ta.jpg,,,,
